id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,0.028192,0,0,0,262144000,1,0,0,1
1,0.034,0.04,0,1.0,0,0,0,0,0,0
2,0.077,0.058752,15,1.0,1,0,0,0,0,0
3,0.139,0.010048,1800,1,11,0,0,0,0,0
4,0.152,0.03984,0,1.0,0,0,0,0,0,0
5,0.195,0.057696,14,1.0,1,0,0,0,0,0
6,0.256,0.00896,1568,1,10,0,0,0,0,0
7,0.268,0.039648,0,1.0,0,0,0,0,0,0
8,0.311,0.057792,13,1.0,1,0,0,0,0,0
9,0.372,0.007936,1352,1,9,0,0,0,0,0
10,0.383,0.040032,0,1.0,0,0,0,0,0,0
11,0.426,0.057664,12,1.0,1,0,0,0,0,0
12,0.487,0.006944,1152,1,14,0,0,0,0,0
13,0.497,0.03984,0,1.0,0,0,0,0,0,0
14,0.544,0.057632,11,1.0,1,0,0,0,0,0
15,0.605,0.006304,968,1,12,0,0,0,0,0
16,0.614,0.039936,0,1.0,0,0,0,0,0,0
17,0.657,0.057568,10,1.0,1,0,0,0,0,0
18,0.718,0.005472,800,1,10,0,0,0,0,0
19,0.727,0.04,0,1.0,0,0,0,0,0,0
20,0.77,0.057888,9,1.0,1,0,0,0,0,0
21,0.831,0.004928,648,1,8,0,0,0,0,0
22,0.839,0.039872,0,1.0,0,0,0,0,0,0
23,0.882,0.057728,8,1.0,1,0,0,0,0,0
24,0.943,0.004416,512,1,7,0,0,0,0,0
25,0.951,0.04,0,1.0,0,0,0,0,0,0
26,0.994,0.05808,7,1.0,1,0,0,0,0,0
27,1.055,0.003808,392,1,5,0,0,0,0,0
28,1.062,0.040161,0,1.0,0,0,0,0,0,0
29,1.105,0.057792,6,1.0,1,0,0,0,0,0
30,1.166,0.003392,288,1,4,0,0,0,0,0
31,1.173,0.04,0,1.0,0,0,0,0,0,0
32,1.216,0.058176,5,1.0,1,0,0,0,0,0
33,1.277,0.00288,200,1,3,0,0,0,0,0
34,1.283,0.039936,0,1.0,0,0,0,0,0,0
35,1.326,0.057856,4,1.0,1,0,0,0,0,0
36,1.387,0.00288,128,1,2,0,0,0,0,0
37,1.394,0.039808,0,1.0,0,0,0,0,0,0
38,1.437,0.057952,3,1.0,1,0,0,0,0,0
39,1.498,0.002464,72,1,1,0,0,0,0,0
40,1.503,0.040256,0,1.0,0,0,0,0,0,0
41,1.547,0.057984,2,1.0,1,0,0,0,0,0
42,1.608,0.002784,32,1,1,0,0,0,0,0
43,1.614,0.039968,0,1.0,0,0,0,0,0,0
44,1.657,0.058112,1,1.0,1,0,0,0,0,0
45,1.718,0.002784,8,1,1,0,0,0,0,0
46,1.724,0.039904,0,1.0,0,0,0,0,0,0
47,1.769,0.027456,0,0,0,262144000,1,0,0,2
